name_lower,name,smiles
ciptadine,Cyproheptadine,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
"1-methyl-4-(5h-dibenzo(a,d)cycloheptenylidene)piperidine",Cyproheptadine,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
biohept,Cyproheptadine,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
reactin,Cyproheptadine,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
ciplactin,Cyproheptadine,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
"4-(5h-dibenzo(a,d)cyclohepten-5-ylidene)-1-methylpiperidine",Cyproheptadine,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
periatin,Cyproheptadine,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
cyproheptadine,Cyproheptadine,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
"4-(5-dibenzo(a,d)cyclohepten-5-ylidine)-1-methylpiperidine",Cyproheptadine,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
cyproheptadin,Cyproheptadine,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
cyllermin,Cyproheptadine,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
cyproheptadinum,Cyproheptadine,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
apeplus,Cyproheptadine,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
"1-methyl-4-(5-dibenzo(a,e)cycloheptatrienylidene)piperidine",Cyproheptadine,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
periactine,Cyproheptadine,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
cyheptine,Cyproheptadine,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12
nitrogen monooxide,Nitric Oxide,[N]=O
óxido nítrico,Nitric Oxide,[N]=O
nitric oxide,Nitric Oxide,[N]=O
oxyde nitrique,Nitric Oxide,[N]=O
monoxyde d'azote,Nitric Oxide,[N]=O
mononitrogen monoxide,Nitric Oxide,[N]=O
nitrosyl,Nitric Oxide,[N]=O
stickstoffmonoxid,Nitric Oxide,[N]=O
óxido de nitrógeno(ii),Nitric Oxide,[N]=O
stickstoff(ii)-oxid,Nitric Oxide,[N]=O
monóxido de nitrógeno,Nitric Oxide,[N]=O
edrf,Nitric Oxide,[N]=O
nitrogen monoxide,Nitric Oxide,[N]=O
endothelium-derived relaxing factor,Nitric Oxide,[N]=O
oxyde azotique,Nitric Oxide,[N]=O
"±-3-benzyl-3,4-dihydro-6-(trifluoromethyl)-2h-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide",Bendroflumethiazide,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
"6-trifluoromethyl-3-benzyl-7-sulfamyl-3,4-dihydro-1,2,4-benzothiadiazine 1,1-dioxide",Bendroflumethiazide,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
salures,Bendroflumethiazide,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
bendroflumethiazide,Bendroflumethiazide,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
bendroflumethiazidum,Bendroflumethiazide,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
bendroflumethiazid,Bendroflumethiazide,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
bendrofluméthiazide,Bendroflumethiazide,NS(=O)(=O)C1=CC2=C(NC(CC3=CC=CC=C3)NS2(=O)=O)C=C1C(F)(F)F
