split,variant,resample,profile_auroc,drug_auroc
scaffold,measured,2,0.4068234038614411,0.4396681749622926
scaffold,measured,3,0.5188590846485583,0.47235905856595506
scaffold,measured,4,0.47465311919589204,0.5035087719298246
scaffold,measured,5,0.5636762786282188,0.5187265917602997
scaffold,measured,6,0.5961302158605716,0.5254486613709914
scaffold,measured,7,0.5207024395766118,0.5416149068322982
scaffold,measured,8,0.7043810718976491,0.4837027379400261
scaffold,measured,9,0.4578288116960754,0.4609186140209508
scaffold,frozen_pred,0,0.5306372549019608,0.571157495256167
scaffold,frozen_pred,1,0.8192395579285039,0.540580182529335
scaffold,frozen_pred,2,0.47342400714355715,0.44457013574660637
scaffold,frozen_pred,3,0.6045744993113414,0.5429666119321291
scaffold,frozen_pred,4,0.5045418364002435,0.5368421052631579
scaffold,frozen_pred,5,0.5915925002966654,0.552059925093633
scaffold,frozen_pred,6,0.8783050556644427,0.5684024713150927
scaffold,frozen_pred,7,0.4586517235523858,0.4467908902691512
scaffold,frozen_pred,8,0.3076577031676229,0.4925394755903231
scaffold,frozen_pred,9,0.405856061882638,0.53102336825141
scaffold,chemberta_frozen,0,0.5427891744933268,0.5798861480075902
scaffold,chemberta_frozen,1,0.42035682112802936,0.6046284224250326
scaffold,chemberta_frozen,2,0.6424410057605819,0.6787330316742082
scaffold,chemberta_frozen,3,0.45259545259545264,0.5125889436234264
scaffold,chemberta_frozen,4,0.35916405237939164,0.3589473684210526
scaffold,chemberta_frozen,5,0.5672837308650764,0.5941947565543071
scaffold,chemberta_frozen,6,0.6762592966548541,0.5812003530450132
scaffold,chemberta_frozen,7,0.5507443255787626,0.645134575569358
scaffold,chemberta_frozen,8,0.17093252649434487,0.6097348978704911
scaffold,chemberta_frozen,9,0.5128427336847934,0.5100725221595487
scaffold,cell_dose_only,0,0.4921784890426758,0.5869070208728653
scaffold,cell_dose_only,1,0.47570584228681906,0.4519230769230769
scaffold,cell_dose_only,2,0.45668673977197244,0.4407993966817496
scaffold,cell_dose_only,3,0.5531000925737768,0.5833333333333333
scaffold,cell_dose_only,4,0.5111165738009397,0.5440350877192982
scaffold,cell_dose_only,5,0.6110715557137772,0.4730337078651685
scaffold,cell_dose_only,6,0.48301954029815286,0.4483671668137687
scaffold,cell_dose_only,7,0.483847002886738,0.508488612836439
scaffold,cell_dose_only,8,0.507572623485183,0.5367955961176301
scaffold,cell_dose_only,9,0.5012236906510035,0.4570910556003223
scaffold,tuned_E,0,0.6178118306145988,0.6432637571157497
scaffold,tuned_E,1,0.8104211983389361,0.5999022164276402
scaffold,tuned_E,2,0.602988097701212,0.5720211161387633
scaffold,tuned_E,3,0.7008794508794509,0.6518883415435139
scaffold,tuned_E,4,0.6093006196251034,0.6101754385964911
scaffold,tuned_E,5,0.6743087694315889,0.6161048689138576
